,Original,Media,STD
221,[794],[605.16666667],[182.83118559]
222,[854],[638.33333333],[189.29694486]
223,[882],[665.5],[199.52329552]
224,[472],[641.5],[204.38488647]
225,[338],[616.16666667],[222.36654152]
226,[898],[659.16666667],[222.85822372]
227,[874],[682.33333333],[230.02898368]
228,[668],[678.5],[229.83650315]
229,[848],[714.16666667],[219.03002423]
230,[852],[754.16666667],[193.16400631]
231,[792],[770.],[187.25383841]
232,[582],[737.83333333],[183.26028848]
233,[792],[737.66666667],[183.20546505]
234,[1092],[757.5],[208.13129597]
235,[986],[766.16666667],[215.81045275]
236,[960],[806.83333333],[200.79561446]
237,[888],[852.66666667],[136.54258965]
238,[638],[831.],[148.77560895]
239,[554],[804.33333333],[167.82638937]
240,[1292],[856.33333333],[212.4760236]
241,[1324],[896.],[251.60719747]
242,[1094],[916.16666667],[257.39175424]
243,[982],[932.],[254.89106408]
244,[896],[958.16666667],[230.65985714]
245,[494],[933.33333333],[263.83236184]
246,[464],[881.],[290.44104393]
247,[800],[865.5],[289.28894018]
248,[1092],[876.5],[295.64859362]
249,[948],[881.5],[296.36724761]
250,[1950],[990.83333333],[416.1647037]
251,[1088],[1035.33333333],[393.12022989]
252,[640],[981.],[399.42731732]
253,[562],[917.5],[400.50978878]
254,[1024],[911.66666667],[398.2085642]
255,[930],[907.33333333],[397.65616334]
256,[936],[910.66666667],[397.72016963]
257,[886],[943.33333333],[375.88521781]
258,[860],[976.33333333],[346.18737263]
259,[658],[964.5],[355.07553614]
260,[484],[913.83333333],[377.87487908]
261,[1034],[921.],[379.39425404]
262,[962],[838.66666667],[201.09578601]
263,[932],[825.66666667],[188.13695849]
264,[936],[850.33333333],[180.84414854]
265,[966],[884.],[158.51354975]
266,[708],[857.66666667],[159.38708362]
267,[632],[832.83333333],[169.95712472]
268,[1462],[876.66666667],[248.61263529]
269,[1306],[911.66666667],[277.88661302]
270,[984],[922.],[278.09612465]
271,[1316],[976.83333333],[286.0660551]
272,[1532],[1064.16666667],[281.87225776]
273,[1072],[1067.33333333],[281.71595409]
274,[678],[1043.66666667],[302.52973808]
275,[1568],[1096.66666667],[335.1410377]
276,[1420],[1137.],[343.07751576]
277,[1444],[1176.83333333],[349.11468117]
278,[2548],[1330.16666667],[497.16026926]
279,[1470],[1400.],[446.44535449]
280,[774],[1342.66666667],[480.62787218]
281,[610],[1284.66666667],[525.36763463]
282,[1376],[1317.33333333],[517.09491538]
283,[1414],[1325.5],[517.84527349]
284,[1416],[1315.83333333],[514.71330649]
285,[1880],[1383.16666667],[532.46012797]
286,[1548],[1455.66666667],[484.81361617]
287,[856],[1396.33333333],[512.58903144]
288,[790],[1343.83333333],[541.39782606]
289,[1192],[1322.83333333],[542.04626326]
290,[1508],[1236.16666667],[390.23019624]
291,[1822],[1265.5],[421.39087879]
292,[1280],[1307.66666667],[392.03138403]
293,[1206],[1357.33333333],[328.15886766]
294,[806],[1309.83333333],[364.45671481]
295,[654],[1246.5],[408.12754245]
296,[1328],[1239.16666667],[405.58775159]
297,[1482],[1206.],[362.39305633]
298,[1416],[1195.],[352.94861846]
299,[1448],[1244.33333333],[342.47530325]
300,[1830],[1331.],[348.58623558]
301,[1702],[1373.5],[360.96852041]
302,[1070],[1337.],[368.20399484]
303,[1598],[1318.33333333],[346.41418545]
304,[1954],[1374.5],[391.35858935]
305,[1658],[1412.16666667],[395.39757514]
306,[1616],[1479.66666667],[348.91607048]
307,[2484],[1632.16666667],[355.09943123]
308,[1532],[1649.16666667],[343.92119429]
309,[1030],[1611.5],[386.06370176]
310,[2084],[1667.16666667],[403.09571012]
311,[2444],[1750.16666667],[453.28253949]
312,[2046],[1768.16666667],[460.96456841]
313,[1812],[1777.33333333],[460.62276684]
314,[1880],[1844.83333333],[403.33289507]
315,[1028],[1797.33333333],[464.04022814]
316,[944],[1713.16666667],[521.12567553]
317,[2110],[1750.83333333],[532.97617776]
318,[1900],[1774.5],[532.75006932]
319,[1974],[1732.],[489.59946524]
320,[1884],[1761.33333333],[487.06567288]
321,[1292],[1783.16666667],[456.19649541]
322,[900],[1684.5],[510.07388057]
323,[908],[1556.5],[494.64707345]
324,[2084],[1559.66666667],[498.17472899]
325,[2294],[1599.83333333],[538.19324568]
326,[2054],[1614.33333333],[548.66968592]
327,[1692],[1669.66666667],[516.71397633]
328,[1870],[1746.83333333],[465.05245713]
329,[1208],[1671.66666667],[473.8299145]
330,[2064],[1685.33333333],[483.28522227]
331,[2982],[1769.33333333],[609.21370087]
332,[2568],[1826.33333333],[651.4519913]
333,[1994],[1884.83333333],[630.28274079]
334,[1640],[1946.5],[557.12190603]
335,[1892],[2028.5],[453.07364443]
336,[988],[1937.16666667],[542.51029874]
337,[994],[1828.83333333],[592.29075067]
338,[2024],[1826.33333333],[591.31645632]
339,[1930],[1846.16666667],[590.39183188]
340,[2158],[1870.16666667],[597.26251779]
341,[2492],[1977.16666667],[582.68747796]
342,[1790],[1954.33333333],[584.34163938]
343,[1300],[1814.16666667],[512.77317923]
344,[932],[1677.83333333],[511.61168395]
345,[3166],[1775.5],[666.02108894]
346,[2900],[1880.5],[738.13431889]
347,[2298],[1914.33333333],[747.94887202]
348,[3036],[2085.],[751.01264969]
349,[1894],[2160.],[673.04734401]
350,[1362],[2104.83333333],[711.25418463]
351,[1040],[2030.66666667],[774.71417994]
352,[2304],[2042.83333333],[778.03503466]
353,[2382],[2033.66666667],[772.89295194]
354,[2376],[2082.5],[774.60846415]
355,[4132],[2318.5],[930.29775292]
356,[4290],[2598.33333333],[979.08782532]
357,[1676],[2474.16666667],[994.90463986]
358,[1280],[2339.16666667],[1040.72473291]
359,[3070],[2403.5],[1061.60020723]
360,[3532],[2444.83333333],[1097.51370531]
361,[3200],[2553.66666667],[1102.66712469]
362,[3006],[2690.66666667],[1041.58666844]
363,[2448],[2808.],[909.69085658]
364,[1414],[2733.83333333],[987.47260798]
365,[1156],[2631.66666667],[1085.71880951]
366,[2598],[2650.16666667],[1082.85395921]
367,[2520],[2515.83333333],[977.14182774]
368,[2406],[2358.83333333],[801.78639565]
369,[4080],[2559.16666667],[908.84680511]
370,[2890],[2693.33333333],[817.04582417]
371,[1532],[2565.16666667],[871.40949912]
372,[1310],[2380.],[883.2860136]
373,[2408],[2314.],[845.21369003]
374,[3136],[2324.83333333],[855.65815533]
375,[3854],[2442.],[963.5211938]
376,[5960],[2820.83333333],[1341.96151099]
377,[2806],[2958.33333333],[1236.23852754]
378,[1592],[2874.5],[1295.58105602]
379,[1398],[2781.],[1362.26108831]
380,[3510],[2873.],[1371.87847328]
381,[2768],[2763.66666667],[1318.16975961]
382,[2720],[2749.5],[1317.60198846]
383,[2844],[2858.83333333],[1260.59162397]
384,[3426],[3035.16666667],[1168.90296925]
385,[1944],[2996.5],[1198.82673705]
386,[2190],[2917.66666667],[1219.74090642]
387,[3118],[2856.33333333],[1186.42774238]
388,[4452],[2730.66666667],[863.7980965]
389,[3644],[2800.5],[903.40774042]
390,[3342],[2946.33333333],[828.75276863]
391,[3122],[3090.],[670.20919394]
392,[1750],[2943.33333333],[756.9106268]
393,[1610],[2846.83333333],[849.4564929]
394,[2786],[2852.33333333],[848.77401782]
395,[3606],[2915.83333333],[876.15625768]
396,[3592],[2929.66666667],[886.19629811]
397,[3464],[3056.33333333],[839.92546567]
398,[3420],[3158.83333333],[798.62766764]
399,[2432],[3101.66666667],[825.90284849]
400,[1760],[2877.33333333],[790.62890195]
401,[2972],[2821.33333333],[754.35623768]
402,[4706],[2935.],[923.6990852]
403,[3512],[2967.5],[937.63265728]
404,[3118],[3081.5],[855.73450641]
405,[2514],[3156.83333333],[747.34315269]
406,[1566],[3055.16666667],[874.53570366]
407,[1242],[2858.16666667],[996.87637907]
408,[3412],[2843.16666667],[986.12684352]
409,[4598],[2937.66666667],[1098.91478149]
410,[4192],[3002.],[1151.07822971]
411,[4152],[3145.33333333],[1180.36429918]
412,[4550],[3377.83333333],[1157.23509306]
413,[2330],[3324.33333333],[1192.02008321]
414,[2698],[3157.],[1119.14399106]
415,[3832],[3183.66666667],[1132.1091606]
416,[4286],[3281.],[1175.33453652]
417,[4254],[3426.],[1179.43222087]
418,[4432],[3664.83333333],[1051.82109033]
419,[3764],[3875.],[724.83703498]
420,[2034],[3760.16666667],[894.22122881]
421,[1704],[3519.],[1027.96657179]
422,[3758],[3482.83333333],[1009.60674913]
423,[4228],[3489.16666667],[1014.41302628]
424,[3988],[3442.33333333],[973.11676711]
425,[3504],[3540.16666667],[907.95372663]
426,[2922],[3558.83333333],[891.21386407]
427,[1984],[3404.83333333],[993.51404193]
428,[2082],[3221.16666667],[1019.19770884]
429,[3536],[3161.33333333],[973.08406937]
430,[4030],[3127.83333333],[931.3889758]
431,[3774],[3128.66666667],[932.01417599]
432,[3408],[3243.16666667],[867.47091472]
433,[3878],[3424.33333333],[733.4654151]
434,[2474],[3317.33333333],[772.95764124]
435,[1844],[3118.66666667],[822.40637304]
436,[3754],[3099.16666667],[802.45190548]
437,[4074],[3146.66666667],[844.36930022]
438,[4098],[3244.66666667],[883.2721534]
439,[4654],[3467.16666667],[873.06834402]
440,[2898],[3535.16666667],[782.44997904]
441,[2064],[3412.5],[890.26415896]
442,[2244],[3263.66666667],[926.21137714]
443,[4384],[3314.5],[972.35613565]
444,[3262],[3302.33333333],[971.99320362]
445,[4274],[3335.33333333],[999.64333033]
446,[3982],[3461.],[976.02775668]
447,[2900],[3549.],[857.37633617]
448,[1928],[3396.83333333],[972.0547902]
449,[1890],[3214.83333333],[1036.08966208]
450,[3730],[3184.16666667],[1012.75626013]
451,[3802],[3113.16666667],[926.54017558]
452,[3580],[3170.],[933.03609986]
453,[4462],[3369.83333333],[931.41864753]
454,[3112],[3442.16666667],[867.5534915]
455,[1896],[3234.83333333],[917.84706919]
456,[3066],[3218.5],[919.06281317]
457,[3276],[3135.33333333],[857.99272442]
458,[4768],[3200.83333333],[953.22131679]
459,[4324],[3319.5],[999.86185409]
460,[4426],[3527.66666667],[942.19427965]
461,[3766],[3684.],[788.93484003]
462,[2710],[3599.],[837.01091554]
463,[2092],[3456.5],[938.69469332]
464,[4042],[3495.],[953.57680722]
465,[6186],[3638.66666667],[1208.34622773]
466,[5078],[3802.5],[1262.51239418]
467,[4948],[4056.83333333],[1145.52551127]
468,[4558],[4181.16666667],[1108.57925729]
469,[2344],[4103.5],[1206.11687207]
470,[2414],[3907.33333333],[1277.53209057]
471,[4394],[3913.16666667],[1279.76544963]
472,[3850],[3865.16666667],[1269.54321301]
473,[4808],[3952.],[1297.47166723]
474,[4772],[4123.83333333],[1253.84048814]
475,[3624],[4251.5],[1096.2405592]
476,[2166],[4095.16666667],[1251.59228282]
477,[2722],[3806.5],[1117.84602127]
478,[5252],[3821.],[1136.806212]
479,[4508],[3784.33333333],[1103.76704833]
480,[4708],[3796.83333333],[1114.12597895]
481,[4344],[3963.5],[1022.89148985]
482,[3474],[4051.83333333],[917.22921031]
483,[1988],[3851.33333333],[1083.52667739]
484,[1862],[3685.66666667],[1226.31861004]
485,[3642],[3588.5],[1174.40154973]
486,[3198],[3457.33333333],[1116.68220704]
487,[3676],[3461.66666667],[1117.48836344]
488,[3376],[3562.5],[1041.9893997]
489,[3868],[3658.],[1009.97785754]
490,[3084],[3477.33333333],[885.1072183]
491,[2330],[3295.83333333],[877.8256022]
492,[4928],[3314.16666667],[911.6456482]
493,[4860],[3357.16666667],[974.62961108]
494,[4516],[3444.],[1030.78504946]
495,[4272],[3634.33333333],[944.77619604]
496,[4244],[3832.83333333],[773.20605666]
497,[2828],[3765.],[825.41339505]
498,[2382],[3697.],[906.04495172]
499,[5264],[3829.33333333],[1012.42259712]
500,[4222],[3899.83333333],[1007.42821385]
501,[4258],[3932.33333333],[1012.58546964]
502,[4118],[4018.5],[977.20980347]
503,[4122],[4167.83333333],[820.00020325]
504,[2664],[3979.16666667],[886.92131795]
505,[2306],[3766.33333333],[959.78059361]
506,[4774],[3787.83333333],[980.76091363]
507,[4134],[3776.33333333],[975.36187535]
508,[3892],[3747.],[965.25926804]
509,[2854],[3749.16666667],[963.03552595]
510,[3004],[3801.],[897.2533847]
511,[2164],[3542.66666667],[883.91004616]
512,[2216],[3375.5],[932.12762489]
513,[5708],[3496.33333333],[1129.92448125]
514,[4982],[3568.33333333],[1198.58062522]
515,[4802],[3625.],[1242.40982845]
516,[6070],[3908.83333333],[1383.90658075]
517,[4286],[4073.83333333],[1290.30129204]
518,[2346],[3871.5],[1359.06254455]
519,[2964],[3774.],[1380.32064786]
520,[5466],[3905.16666667],[1464.75625235]
521,[5162],[4097.5],[1465.71090415]
522,[4636],[4233.5],[1430.31086894]
523,[4314],[4412.66666667],[1273.58201601]
524,[5430],[4680.5],[1095.06865704]
525,[3228],[4473.83333333],[1117.31804159]
526,[2522],[4268.83333333],[1235.07510507]
527,[4588],[4251.],[1228.20267797]
528,[6426],[4280.66666667],[1279.36783632]
529,[6108],[4432.5],[1383.90360279]
530,[5206],[4670.83333333],[1229.57005297]
531,[4938],[4835.33333333],[1106.33065363]
532,[3828],[4698.83333333],[1122.37717152]
533,[4310],[4627.83333333],[1117.35123747]
534,[7196],[4841.16666667],[1341.04747617]
535,[5378],[4929.83333333],[1338.1953814]
536,[5190],[4909.83333333],[1331.81884062]
537,[5110],[5066.66666667],[1222.05113219]
538,[5668],[5328.83333333],[928.78198179]
539,[3238],[5216.33333333],[1093.77871564]
540,[2814],[4915.33333333],[1220.30438329]
541,[5750],[4885.5],[1192.55665007]
542,[5582],[4916.83333333],[1206.5998684]
543,[5512],[4964.66666667],[1218.8308357]
544,[4646],[5032.83333333],[1171.43314195]
545,[4108],[5016.],[1184.1467968]
546,[2780],[4648.],[1130.02204323]
547,[2742],[4428.33333333],[1227.24164719]
548,[5426],[4448.],[1242.35494855]
549,[5252],[4459.83333333],[1249.88711005]
550,[6530],[4531.66666667],[1346.65912089]
551,[5552],[4724.5],[1309.74282694]
552,[4908],[4899.],[1163.37862202]
553,[2942],[4665.],[1255.40735873]
554,[2608],[4417.16666667],[1348.05677203]
555,[5472],[4413.83333333],[1345.14979452]
556,[5672],[4499.33333333],[1393.00416584]
557,[6334],[4684.83333333],[1481.5533515]
558,[5578],[4918.],[1370.53274313]
559,[5110],[5115.33333333],[1186.91972106]
560,[3024],[4915.16666667],[1324.34970892]
561,[2928],[4721.5],[1435.84682014]
562,[5836],[4663.66666667],[1368.79238969]
563,[5466],[4656.5],[1363.93498245]
564,[6336],[4775.5],[1447.60118189]
565,[5738],[5008.5],[1347.19428983]
566,[5122],[5218.],[1115.51276428]
567,[2922],[5005.5],[1291.69659398]
568,[2856],[4770.83333333],[1409.98348368]
569,[5032],[4662.33333333],[1326.37711169]
570,[5122],[4624.33333333],[1304.10396499]
571,[4620],[4583.5],[1295.15520305]
572,[2998],[4581.33333333],[1298.0198439]
573,[3576],[4635.33333333],[1234.93108629]
574,[3096],[4407.],[1246.00875526]
575,[2866],[4190.33333333],[1270.92602841]
576,[5138],[4090.5],[1125.82773589]
577,[5668],[4084.66666667],[1116.65941201]
578,[4756],[4054.16666667],[1090.44093111]
579,[2882],[4050.83333333],[1094.27085174]
580,[4986],[4228.33333333],[1054.8826159]
581,[3486],[4099.5],[1042.1373579]
582,[3142],[3934.5],[1022.0813435]
583,[5580],[4014.5],[1114.04720807]
584,[6250],[4285.5],[1233.43603585]
585,[5812],[4471.83333333],[1284.3526727]
586,[5306],[4656.],[1226.26884195]
587,[5388],[4866.16666667],[1101.35336855]
588,[3326],[4715.16666667],[1181.96214624]
589,[3280],[4516.16666667],[1207.70178689]
590,[7028],[4705.5],[1409.88719729]
591,[5546],[4927.5],[1302.28753284]
592,[6058],[5016.83333333],[1342.80316254]
593,[10384],[5591.66666667],[1961.7281497]
594,[7874],[5986.],[1899.14679408]
595,[4636],[5907.33333333],[1936.67349918]
596,[3568],[5683.83333333],[2045.24681033]
597,[6964],[5779.83333333],[2078.57441677]
598,[6330],[5865.16666667],[2078.37287027]
599,[6202],[5933.],[2074.66369673]
600,[6182],[6171.],[1905.31190479]
601,[5928],[6391.66666667],[1680.07550335]
602,[3798],[6122.5],[1821.63685135]
603,[3374],[5941.5],[1984.73119316]
604,[5360],[5883.33333333],[1991.22407914]
605,[6310],[5543.83333333],[1419.27086487]
606,[6738],[5449.16666667],[1280.85353881]
607,[6820],[5631.16666667],[1309.64601972]
608,[5852],[5821.5],[1137.15310395]
609,[4722],[5634.66666667],[1116.36596584]
610,[4620],[5492.16666667],[1128.61087854]
611,[6370],[5506.16666667],[1139.20880306]
612,[6650],[5545.16666667],[1171.98804162]
613,[6812],[5618.83333333],[1224.83021705]
614,[6430],[5838.16666667],[1098.24536365]
615,[5728],[6034.33333333],[783.10655647]
616,[4486],[5961.5],[885.4772211]
617,[3504],[5727.66666667],[1123.56925856]
618,[6042],[5669.66666667],[1083.93855355]
619,[5838],[5587.83333333],[1024.64449119]
620,[5896],[5591.5],[1025.75386911]
621,[6388],[5730.33333333],[1009.99399938]
622,[6944],[5924.],[1000.50132888]
623,[3966],[5723.66666667],[1134.75182175]
624,[3154],[5432.33333333],[1310.47772922]
625,[6826],[5433.5],[1311.82319346]
626,[6686],[5454.83333333],[1331.4368065]
627,[6390],[5510.],[1357.24855364]
628,[6088],[5643.5],[1325.7931074]
629,[6768],[5915.5],[1172.96179121]
630,[4370],[5776.16666667],[1253.13554613]
631,[3622],[5591.5],[1398.09041846]
632,[6822],[5668.66666667],[1441.31186035]
633,[8102],[5811.5],[1595.73388645]
634,[9670],[6038.66666667],[1930.52613334]
635,[8936],[6452.83333333],[1977.9794021]
636,[7132],[6784.33333333],[1686.75823203]
637,[5668],[6687.83333333],[1717.01124226]
638,[5254],[6568.5],[1766.20787925]
639,[8146],[6714.83333333],[1821.93891891]
640,[8006],[6874.66666667],[1845.92195902]
641,[10410],[7178.16666667],[2107.63899933]
642,[8202],[7497.5],[1925.95461572]
643,[6720],[7755.66666667],[1525.16820732]
644,[4592],[7569.83333333],[1766.09903116]
645,[5328],[7338.66666667],[1868.67776946]
646,[8380],[7231.16666667],[1756.08313291]
647,[9162],[7250.],[1777.11492441]
648,[8926],[7399.5],[1840.61158314]
649,[11886],[7917.66666667],[2156.91258024]
650,[9730],[8290.66666667],[2038.15591041]
651,[5856],[8099.83333333],[2156.69232573]
652,[5604],[7899.66666667],[2274.4453603]
653,[8922],[7775.66666667],[2162.97351446]
654,[8792],[7824.83333333],[2180.18272101]
655,[8962],[8011.66666667],[2172.94886914]
656,[7540],[8257.33333333],[1900.7868865]
657,[6950],[8392.5],[1722.88829902]
658,[4190],[8043.33333333],[2107.3384046]
659,[4432],[7649.16666667],[2311.54280763]
660,[8570],[7619.5],[2295.89754681]
661,[8086],[7302.83333333],[1877.95506933]
662,[8300],[7183.66666667],[1751.01691666]
663,[6802],[7262.5],[1706.53974729]
664,[9118],[7555.33333333],[1697.54632195]
665,[5282],[7252.],[1755.36662837]
666,[5540],[6981.],[1747.01001714]
667,[10066],[7073.],[1884.47677812]
668,[8932],[7189.],[1957.27314952]
669,[8488],[7317.16666667],[1990.2777254]
670,[9486],[7758.5],[1813.09943066]
671,[6776],[7953.83333333],[1525.61366689]
672,[5238],[7676.16666667],[1696.87872998]
673,[4710],[7394.83333333],[1891.45859221]
674,[7548],[7332.16666667],[1871.09058297]
675,[7836],[7418.33333333],[1868.26255374]
676,[7826],[7310.66666667],[1797.28772085]
